가게
가격03
가구03
가구04
가까워지다
가까이
가깝다
가꾸다
가끔
가난01
가난하다
가늘다
가능
가능성
가능하다
가능해지다
가다01
가득01
가득하다01
가득히
가라앉다
가려지다
가령05
가로01
가로등
가로막다
가로수
가루01
가르다
가르치다01
가르침
가리다02
가리다03
가리키다01
가만
가만있다
가만히
가뭄
가방01
가볍다
가사09
가상05
가수11
가스
가슴01
가슴속
가요02
가운데
가위01
가을01
가이드
가입
가입자
가입하다
가장01
가장07
가정06
가정07
가정교사
가져가다
가져다주다
가져오다
가족01
가죽01
가지01
가지04
가지다
가짜
가치06
가치관
가톨릭
가하다01
각01
각각01
각국
각기02
각오01
각자02
각종
간01
간08
간10
간격02
간단하다02
간단히
간부05
간섭
간식02
간신히
간장01
간접
간접적
간판02
간편하다
간호
간호사
간혹
갇히다
갈다01
갈다02
갈등
갈비01
갈비탕
갈색
갈수록
갈아입다
갈아타다
갈증
감01
감12
감각02
감기04
감다01
감다03
감독02
감동02
감동적
감사08
감사하다05
감상05
감상하다04
감소01
감소되다
감소하다
감수성02
감싸다
감옥02
감자01
감정06
감정적01
감추다
감히
갑05
갑자기
갑작스럽다
값
값싸다
강01
강남
강당
강도05
강도06
강력하다
강력히
강렬하다02
강물
강변01
강북
강사04
강수량
강아지
강요하다
강원도
강의02
강의하다02
강제01
강조02
강조하다
강하다02
강화하다02
갖가지
갖다01
갖추다
같다
같이
같이하다
갚다
개03
개10
개개인
개구리
개국01
개나리01
개다01
개미03
개발되다
개발하다
개방04
개방되다
개방하다03
개별
개선01
개선되다01
개선하다01
개성03
개월
개인02
개인적
객관적
걔
거01
거기01
거꾸로
거대하다
거두다
거들다01
거듭
거리01
거리02
거리08
거부하다
거실02
거액
거울01
거의01
거절하다01
거짓
거짓말
거치다01
거칠다
거품
걱정
걱정되다
걱정스럽다
걱정하다
건04
건강03
건강하다02
건너01
건너가다
건너다
건너오다
건너편
건넌방
건네다
건네주다
건드리다
건물03
건설
건설되다
건설하다
건전하다
건조04
건조하다02
건지다
건축01
걷기
걷다02
걷다03
걷다04
걸다02
걸리다01
걸어가다
걸어오다01
걸음
걸치다
검다02
검사02
검사03
검은색
검정색
검토
겁05
겁나다02
것01
겉01
게01
게다가
게시판
게으르다
게임
겨우
겨울
겨울철
겨자01
겪다
견디다
견해02
결과02
결과적
결국
결론02
결석01
결석하다
결승01
결심01
결심하다01
결정01
결정되다01
결정하다01
결코
결혼
결혼식
결혼하다
경계04
경고04
경고하다02
경기05
경기11
경기도
경기장
경력02
경복궁
경비02
경상도
경영02
경영하다01
경우03
경쟁
경쟁력
경제04
경제력
경제적
경제학
경주
경찰04
경찰관
경찰서
경치02
경향02
경험
경험하다
곁01
계곡01
계단04
계란
계산01
계산기
계산하다
계속04
계속되다02
계속하다03
계시다
계약
계절01
계좌02
계층
계획01
계획하다01
고개01
고개02
고객04
고교04
고구려
고구마
고궁01
고급02
고급스럽다
고기01
고등학교
고등학생
고려
고려하다01
고르다01
고르다03
고맙다01
고모01
고모부
고무신
고민
고민하다
고생
고생하다
고소하다01
고속02
고속도로
고속버스
고양이
고요하다
고작02
고장01
고장11
고전02
고집02
고집하다
고추01
고추장
고춧가루
고치다01
고통
고통스럽다
고프다
고함01
고향02
곡02
곡식
곤란하다
곧01
곧다01
곧바로
곧이어
곧잘
곧장
골14
골고루
골목01
골목길
골짜기01
골치01
골프
골프장
곰03
곱다02
곳01
곳곳
공01
공간05
공개02
공개하다
공격02
공격하다
공공02
공군02
공급02
공기06
공기07
공동02
공무원
공부01
공부하다
공사02
공식01
공식적
공업01
공연02
공연되다
공연장
공연하다02
공연히02
공원03
공장02
공주01
공중03
공중전화
공짜
공책01
공통
공통되다
공통적
공통점
공포08
공항02
공항버스
공해01
공휴일
과04
과10
과거02
과거03
과목02
과연01
과외
과일01
과자02
과장07
과정03
과정04
과제04
과학
과학자
과학적
관객
관계05
관계되다
관계없이
관계자
관광02
관광객
관광버스
관광지
관념02
관람
관람객
관련
관련되다
관련하다
관리01
관리04
관리하다
관습
관심01
관심사
관점02
관찰01
관찰하다
관하다02
광경
광고02
광장02
광주
괜찮다
괜히
괴로움
괴로워하다
괴롭다
괴롭히다
굉장하다
굉장히
교과서
교내01
교대01
교류01
교문01
교복01
교사09
교수06
교시03
교실
교양02
교외01
교육
교육비
교육자
교장03
교재01
교직04
교체01
교통01
교통사고
교포02
교환01
교환하다01
교회02
교훈02
구01
구15
구경01
구경하다
구두01
구르다01
구름01
구멍
구별02
구별되다
구별하다
구분06
구분되다
구분하다03
구석01
구석구석
구성07
구성되다
구성하다
구속02
구속되다
구속하다01
구십
구역04
구월02
구입03
구입하다03
구조08
구청02
구체적
구하다01
구하다03
국01
국가01
국가적
국기07
국내02
국내선
국내외
국립
국물
국민
국민적
국사03
국산
국수01
국어01
국왕
국적02
국제02
국제선
국제적
국제화
국회
국회의원
군04
군05
군06
군대03
군데
군사01
군사04
군인
굳다
굳어지다
굳이
굳히다
굵다
굶다
굽다01
굽히다
궁극적
궁금하다01
권01
권리
권위
권투01
권하다
귀01
귀가03
귀가하다01
귀국02
귀국하다
귀신01
귀엽다
귀중하다01
귀찮다
귀하다
귓속
규모
규정04
규칙02
규칙적
균형
귤
그01
그02
그간
그거
그것
그곳
그나마
그날
그냥
그녀
그놈
그늘
그다음
그다지
그대
그대로
그동안
그때
그때그때
그래01
그래03
그래도
그래서
그래야
그래픽
그램
그러나
그러니까
그러다
그러면
그러므로
그러하다
그런01
그런대로
그런데
그럴듯하다
그럼01
그럼02
그렇게
그렇다
그렇지
그렇지만
그려지다
그루01
그룹01
그릇01
그리02
그리고
그리다02
그리로
그리움
그리워하다
그리하여
그림01
그림자
그립다
그만02
그만두다
그만큼
그만하다
그분
그사이
그야말로
그이01
그저
그저께
그전
그제서야
그제야
그중
그쪽
그치다
그토록
그해
극05
극복01
극복하다01
극작가
극장
극히
근거
근거하다
근교
근데01
근래
근로02
근로자
근무
근무하다
근본
근본적
근원
근육
근처
글
글쎄01
글쎄요
글쓰기
글씨
글자
긁다
금02
금06
금강산
금고02
금년
금메달
금방01
금세01
금액02
금연01
금요일
금지04
금지되다
금지하다
금하다02
급04
급격히
급속히
급증하다
급하다
급히
긋다01
긍정적
기13
기23
기간07
기계07
기관11
기구14
기구15
기기13
기념02
기념일
기념품
기념하다
기능01
기능03
기다01
기다리다
기대03
기대다01
기대되다
기대하다
기도03
기도하다02
기독교
기둥01
기록02
기록되다
기록하다
기르다
기름01
기막히다
기법01
기본
기본적
기분01
기뻐하다
기쁘다
기쁨
기사02
기사10
기성08
기성세대
기숙사
기술01
기술자
기술하다01
기억02
기억나다
기억되다
기억하다02
기업01
기업인
기여04
기여하다
기온
기운01
기울다
기울이다
기원05
기원전
기자05
기적03
기준03
기차01
기초06
기초적
기초하다03
기침01
기타01
기타02
기호01
기혼02
기회03
기획01
기후05
긴급
긴장
긴장감
긴장되다
긴장하다
길01
길가
길거리
길다02
길어지다
길이01
김01
김03
김04
김밥
김치01
김치찌개
김포공항
깊다
깊숙이
깊이01
깊이02
까다01
까닭
까만색
까맣다
까먹다
까치01
깍두기
깎다
깔끔하다
깔다
깔리다01
깜빡
깜짝02
깡패
깨끗이
깨끗하다
깨끗해지다
깨다01
깨다02
깨닫다
깨달음
깨뜨리다
깨소금
깨어나다
깨어지다
깨우다01
깨지다
꺼내다
꺼지다01
꺾다
껌
껍질
꼬리01
꼬마
꼭02
꼭03
꼭대기
꼴01
꼼꼼하다
꼼짝
꼽히다01
꽂다
꽃01
꽃씨
꽃잎
꽉
꽤01
꾸다01
꾸다02
꾸리다01
꾸미다
꾸준하다
꾸준히
꾸중
꿀
꿈01
꿈꾸다
꿈속
끄다01
끄덕이다
끈01
끊기다
끊다
끊어지다
끊임없다
끊임없이
끌다
끌리다
끌어당기다
끓다
끓이다01
끝01
끝나다
끝내
끝내다
끝없다
끝없이
끼01
끼다02
끼다03
끼어들다
끼우다01
나03
나가다
나누다
나누어지다
나뉘다
나다01
나들이01
나라01
나란히
나르다01
나름
나머지
나무01
나물01
나뭇가지
나뭇잎
나비03
나빠지다
나쁘다01
나서다
나아가다
나아지다
나오다
나이01
나중01
나침반
나타나다
나타내다
나흘
낙엽
낚시
낚시꾼
낚싯대
난리02
난방02
날01
날개01
날다01
날리다02
날씨01
날아가다
날아다니다
날아오다
날짜01
날카롭다
낡다01
남01
남02
남04
남기다
남녀
남다01
남대문
남대문시장
남동생
남매
남미
남부01
남북
남산
남성01
남자02
남쪽
남편01
남학생
납득하다
낫다01
낫다02
낭비
낮
낮다
낮아지다
낮추다
낯설다
낱말02
낳다01
내09
내과01
내내01
내년
내놓다
내다02
내다보다
내달
내려가다
내려놓다
내려다보다
내려오다
내려지다
